,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,laisser,let
9,10,car,because
10,11,mettre,to put
11,18,longtemps,long time
12,21,pendant,while
13,22,revoir,meet again
14,24,parle,speak
15,26,savais,knew
16,28,attention,Warning
17,33,leurs,their
18,35,train,train
19,40,trouve,find
20,42,perdu,lost
21,44,première,first
22,46,pouvoir,power
23,47,vieux,old
24,49,tiens,here
25,51,enfant,child
26,53,venu,came
27,54,suite,after
28,62,mis,placed
29,64,aimerais,would like to
30,66,mari,husband
31,69,espère,hope
32,73,boulot,job
33,74,arrêter,Stop
34,75,dirait,would say
35,76,terre,Earth
36,86,bureau,office
